Order ID,Row ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Lead_Time,Profit Margin,Cost Percentage,Unit Price,Recommended Factory,Factory_Latitude,Factory_Longitude,Order Year,Order Month,Order Quarter,Order Day of Week,Current Factory,Recommended Predicted Lead_Time,Current Predicted Lead_Time,Lead_Time Reduction,Lead_Time Reduction (%),Recommendation
CA-2021-117964-CHO-TRI-54000,1782,2024-12-02,29-05-2027,Standard Class,117964,Canada,Moncton,New Brunswick,E1A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,1202.0,0.6533333333333333,0.3466666666666667,3.75,Lot's O' Nuts,32.076176,-81.088371,2024.0,12.0,4.0,0.0,Wicked Choccy's,1372.0233333333333,1375.2875000000001,3.2641666666668243,0.23734431285580823,Reassign
CA-2021-125388-OTH-LIC-15000,1378,,15-04-2027,Standard Class,125388,Canada,Montreal,Quebec,H1A,Other,Atlantic,OTH-LIC-15000,Lickable Wallpaper,60.0,3,30.0,30.0,,0.5,0.5,20.0,Wicked Choccy's,41.446333,-90.565487,,,,,Secret Factory,1490.2794444444444,1493.5494444444444,3.269999999999982,0.2189415296670224,Reassign
CA-2021-126634-CHO-FUD-51000,1933,,14-06-2027,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,,0.6666666666666666,0.3333333333333333,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1708.278888888889,1713.107777777778,4.828888888888969,0.2818788725104583,Reassign
CA-2021-129322-CHO-TRI-54000,889,2024-08-08,31-01-2027,Second Class,129322,Canada,Toronto,Ontario,M5H,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,906.0,0.6533333333333333,0.3466666666666667,3.75,Sugar Shack,32.076176,-81.088371,2024.0,8.0,3.0,3.0,Wicked Choccy's,957.7777777777779,960.5044444444446,2.726666666666688,0.28387861008220433,Reassign
CA-2021-131807-CHO-MIL-31000,1294,2024-10-05,02-04-2027,Standard Class,131807,Canada,Calgary,Alberta,T1Y,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,1057.0,0.6492307692307692,0.3507692307692307,3.25,Secret Factory,32.076176,-81.088371,2024.0,10.0,4.0,5.0,Wicked Choccy's,1102.1033333333332,1104.56,2.456666666666706,0.22241133724439652,Reassign
CA-2021-131807-CHO-TRI-54000,1297,2024-10-05,02-04-2027,Standard Class,131807,Canada,Edmonton,Alberta,T5A,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,1057.0,0.6533333333333334,0.3466666666666667,3.75,Lot's O' Nuts,32.076176,-81.088371,2024.0,10.0,4.0,5.0,Wicked Choccy's,1079.4133333333334,1082.9466666666667,3.533333333333303,0.32627029955306847,Reassign
CA-2021-131807-OTH-LIC-15000,1298,2024-10-05,02-04-2027,Standard Class,131807,Canada,Calgary,Alberta,T1Y,Other,Pacific,OTH-LIC-15000,Lickable Wallpaper,100.0,5,50.0,50.0,1057.0,0.5,0.5,20.0,Lot's O' Nuts,41.446333,-90.565487,2024.0,10.0,4.0,5.0,Secret Factory,1111.73,1113.2566666666667,1.5266666666666424,0.13713519194435325,Reassign
CA-2021-139675-CHO-MIL-31000,181,,08-09-2026,Second Class,139675,Canada,Calgary,Alberta,T2C,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12,,0.6492307692307692,0.3507692307692307,3.25,Lot's O' Nuts,32.076176,-81.088371,,,,,Wicked Choccy's,1614.42,1625.14,10.720000000000027,0.6596354775588581,Reassign
CA-2021-146626-CHO-SCR-58000,2017,,28-06-2027,Standard Class,146626,Canada,St. John's,Newfoundland and Labrador,A0A,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,,0.6944444444444444,0.3055555555555556,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1561.0283333333334,1564.1961111111113,3.1677777777779283,0.20251794230122006,Reassign
CA-2021-151799-CHO-MIL-31000,1873,,10-06-2027,Standard Class,151799,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,,0.6492307692307693,0.3507692307692308,3.25,Lot's O' Nuts,32.076176,-81.088371,,,,,Wicked Choccy's,1613.84,1676.7627777777777,62.92277777777781,3.752634457998268,Reassign
CA-2021-151799-CHO-SCR-58000,1871,,10-06-2027,Standard Class,151799,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,,0.6944444444444444,0.3055555555555555,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1622.488111111111,1625.6516666666666,3.163555555555604,0.19460230136769383,Reassign
CA-2021-152443-CHO-FUD-51000,515,,16-11-2026,Standard Class,152443,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,,0.6666666666666666,0.3333333333333333,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1662.3342222222223,1669.9766666666667,7.642444444444436,0.4576377979998385,Reassign
CA-2021-153623-CHO-SCR-58000,1699,,28-05-2027,Standard Class,153623,Canada,St. John's,Newfoundland and Labrador,A0A,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,28.8,8,20.0,8.8,,0.6944444444444444,0.3055555555555556,3.6,Sugar Shack,32.881893,-111.768036,,,,,Lot's O' Nuts,1585.1224444444445,1587.3713333333335,2.2488888888890415,0.1416737748543425,Reassign
CA-2021-153738-CHO-SCR-58000,1176,,15-03-2027,First Class,153738,Canada,Toronto,Ontario,M2N,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,21.6,6,15.0,6.6,,0.6944444444444444,0.3055555555555555,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1633.3375555555556,1637.54,4.202444444444382,0.2566315598058296,Reassign
CA-2021-166086-CHO-MIL-31000,453,2024-05-07,02-11-2026,Standard Class,166086,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,850.0,0.6492307692307693,0.3507692307692308,3.25,Secret Factory,32.076176,-81.088371,2024.0,5.0,2.0,1.0,Wicked Choccy's,922.6,924.4566666666667,1.8566666666666833,0.20083869083461817,Reassign
CA-2021-166086-CHO-NUT-13000,451,2024-05-07,02-11-2026,Standard Class,166086,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,850.0,0.7134670487106017,0.28653295128939826,3.49,Secret Factory,32.881893,-111.768036,2024.0,5.0,2.0,1.0,Lot's O' Nuts,1040.545,1049.8133333333333,9.268333333333203,0.8828553647632471,Reassign
CA-2021-166086-CHO-SCR-58000,452,2024-05-07,02-11-2026,Standard Class,166086,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,850.0,0.6944444444444444,0.3055555555555555,3.6,Secret Factory,32.881893,-111.768036,2024.0,5.0,2.0,1.0,Lot's O' Nuts,922.2633333333333,926.8733333333333,4.610000000000014,0.4973710899008149,Reassign
CA-2021-166695-CHO-TRI-54000,504,,14-11-2026,Standard Class,166695,Canada,Vancouver,British Columbia,V6Z,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,,0.6533333333333334,0.3466666666666667,3.75,Lot's O' Nuts,32.076176,-81.088371,,,,,Wicked Choccy's,1498.9652777777776,1501.6775,2.712222222222408,0.1806128294672064,Reassign
CA-2022-119508-CHO-FUD-51000,3903,2024-12-04,31-05-2028,Standard Class,119508,Canada,Vancouver,British Columbia,V6B,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,1510.0,0.6666666666666666,0.3333333333333333,3.6,Wicked Choccy's,32.881893,-111.768036,2024.0,12.0,4.0,2.0,Lot's O' Nuts,1395.19,1407.51,12.319999999999936,0.8753046159529906,Reassign
CA-2022-119508-CHO-NUT-13000,3902,2024-12-04,31-05-2028,Standard Class,119508,Canada,Vancouver,British Columbia,V6B,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,1510.0,0.7134670487106017,0.28653295128939826,3.49,Wicked Choccy's,32.881893,-111.768036,2024.0,12.0,4.0,2.0,Lot's O' Nuts,1408.59,1416.2433333333333,7.653333333333421,0.5403967773899556,Reassign
CA-2022-129322-CHO-TRI-54000,2944,2024-08-08,31-01-2028,Second Class,129322,Canada,Toronto,Ontario,M5H,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,1271.0,0.6533333333333334,0.3466666666666667,3.75,Lot's O' Nuts,32.076176,-81.088371,2024.0,8.0,3.0,3.0,Wicked Choccy's,1170.7472222222223,1181.0383333333336,10.291111111111377,0.8713613115389741,Reassign
CA-2022-132548-CHO-MIL-31000,2510,2024-05-07,02-11-2027,Standard Class,132548,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,1215.0,0.6492307692307693,0.3507692307692308,3.25,Secret Factory,32.076176,-81.088371,2024.0,5.0,2.0,1.0,Wicked Choccy's,1180.34,1182.62,2.2799999999999727,0.19279227477972408,Reassign
CA-2022-132548-CHO-NUT-13000,2511,2024-05-07,02-11-2027,Standard Class,132548,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5.0,1215.0,0.7134670487106017,0.2865329512893983,3.4899999999999998,Wicked Choccy's,32.881893,-111.768036,2024.0,5.0,2.0,1.0,Lot's O' Nuts,1195.9266666666667,1203.37,7.4433333333331575,0.618540709285852,Reassign
CA-2022-132548-CHO-SCR-58000,2512,2024-05-07,02-11-2027,Standard Class,132548,Canada,Toronto,Ontario,M3C,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,1215.0,0.6944444444444444,0.3055555555555556,3.6,Secret Factory,32.881893,-111.768036,2024.0,5.0,2.0,1.0,Lot's O' Nuts,1166.0666666666666,1172.3833333333334,6.316666666666833,0.5387885077406565,Reassign
CA-2022-139675-CHO-MIL-31000,2233,,08-09-2027,Second Class,139675,Canada,Calgary,Alberta,T2C,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,26.0,8,16.88,9.12,,0.6492307692307692,0.3507692307692307,3.25,Lot's O' Nuts,32.076176,-81.088371,,,,,Wicked Choccy's,1614.42,1625.14,10.720000000000027,0.6596354775588581,Reassign
CA-2022-145154-CHO-TRI-54000,3872,2024-12-02,28-05-2028,Standard Class,145154,Canada,Moncton,New Brunswick,E1A,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,1567.0,0.6533333333333333,0.3466666666666667,3.75,Lot's O' Nuts,32.076176,-81.088371,2024.0,12.0,4.0,0.0,Wicked Choccy's,1372.0233333333333,1375.2875000000001,3.2641666666668243,0.23734431285580823,Reassign
CA-2022-150547-CHO-MIL-31000,2275,,16-09-2027,Standard Class,150547,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,,0.6492307692307692,0.3507692307692307,3.25,Lot's O' Nuts,32.076176,-81.088371,,,,,Wicked Choccy's,1671.7,1685.4533333333334,13.75333333333333,0.8160020251722581,Reassign
CA-2022-152681-CHO-MIL-31000,2093,,15-07-2027,Standard Class,152681,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,,0.6492307692307692,0.3507692307692307,3.25,Lot's O' Nuts,32.076176,-81.088371,,,,,Wicked Choccy's,1666.3311111111113,1676.7627777777777,10.431666666666388,0.6221313357451511,Reassign
CA-2022-153071-CHO-FUD-51000,3135,2024-09-08,04-03-2028,Standard Class,153071,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,1303.0,0.6666666666666666,0.3333333333333333,3.6,Wicked Choccy's,32.881893,-111.768036,2024.0,9.0,3.0,6.0,Lot's O' Nuts,1229.2861111111113,1235.512777777778,6.226666666666688,0.5039742832822915,Reassign
CA-2022-158792-CHO-FUD-51000,4140,,24-06-2028,Standard Class,158792,Canada,Montreal,Quebec,H1A,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,,0.6666666666666666,0.3333333333333333,3.6,Wicked Choccy's,32.881893,-111.768036,,,,,Lot's O' Nuts,1651.4477777777777,1659.6233333333332,8.175555555555547,0.492615124850953,Reassign
CA-2023-111254-CHO-NUT-13000,6492,2025-12-02,28-05-2029,Standard Class,111254,Canada,Moncton,New Brunswick,E1A,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,24.43,7,17.43,7.0,1566.0,0.7134670487106017,0.28653295128939826,3.4899999999999998,Wicked Choccy's,32.881893,-111.768036,2025.0,12.0,4.0,1.0,Lot's O' Nuts,1744.0353333333333,1752.2713333333331,8.235999999999876,0.47001853213751965,Reassign
